Neighborhood,Crimes_Count
Mid Island,50225
Central Queens,64861
Northeast Queens,91526
Kingsbridge and Riverdale,93386
Lower Manhattan,105067
Sunset Park,118974
Port Richmond,131191
Rockaways,140652
Greenpoint,142264
South Shore,146554
Southwest Brooklyn,153990
Upper East Side,159937
Stapleton and St. George,171519
North Queens,179884
West Central Queens,191439
Canarsie and Flatlands,207198
Borough Park,207620
East Harlem,208879
Upper West Side,212855
Greenwich Village and Soho,223645
Gramercy Park and Murray Hill,225553
Northwest Queens,251091
Southwest Queens,258646
Northeast Bronx,261219
Southern Brooklyn,290930
Lower East Side,296190
Inwood and Washington Heights,303817
Bushwick and Williamsburg,316885
East New York and New Lots,329657
Bronx Park and Fordham,377839
Northwest Brooklyn,381027
Hunts Point and Mott Haven,386845
Central Bronx,387056
West Queens,398748
Flatbush,436395
Central Harlem,437257
Southeast Bronx,447533
High Bridge and Morrisania,456696
Jamaica,518786
Chelsea and Clinton,572478
Central Brooklyn,645806
